Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2019-08-21T06:00:00Z,S,0.2,6,,,
S,2019-08-21T12:00:00Z,S,0.3,6,,,
S,2019-08-21T18:00:00Z,S,3,6,,,
S,2019-08-22T00:00:00Z,S,6,6,,,
S,2019-08-22T12:00:00Z,S,3,6,,,
S,2019-08-22T18:00:00Z,S,2,6,,,
S,2019-08-23T00:00:00Z,S,5,6,,,
S,2019-08-23T06:00:00Z,S,2,6,,,
S,2019-08-23T12:00:00Z,S,0,6,,,
S,2019-08-23T18:00:00Z,S,0.4,6,,,
S,2019-08-24T00:00:00Z,S,0,6,,,
S,2019-08-24T06:00:00Z,S,0.6,6,,,
S,2019-08-24T12:00:00Z,S,0,6,,,
S,2019-08-24T18:00:00Z,S,0.1,6,,,
S,2019-08-25T00:00:00Z,S,0.5,6,,,
S,2019-08-25T06:00:00Z,S,0.2,6,,,
S,2019-08-25T12:00:00Z,S,0,6,,,
S,2019-08-25T18:00:00Z,S,0.3,6,,,
S,2019-08-26T00:00:00Z,S,4,6,,,
S,2019-08-26T06:00:00Z,S,0,6,,,
S,2019-08-26T12:00:00Z,S,0,6,,,
S,2019-08-26T18:00:00Z,S,0,6,,,
S,2019-08-27T00:00:00Z,S,0.2,6,,,
S,2019-08-27T06:00:00Z,S,0,6,,,
S,2019-08-27T12:00:00Z,S,0,6,,,
S,2019-08-27T18:00:00Z,S,0,6,,,
S,2019-08-28T00:00:00Z,S,0,6,,,
S,2019-08-28T06:00:00Z,S,0,6,,,
S,2019-08-28T12:00:00Z,S,0,6,,,
S,2019-08-28T18:00:00Z,S,0.2,6,,,
S,2019-08-29T00:00:00Z,S,0.1,6,,,
S,2019-08-29T06:00:00Z,S,0.1,6,,,
S,2019-08-29T12:00:00Z,S,0,6,,,
S,2019-08-29T18:00:00Z,S,0,6,,,
S,2019-08-30T00:00:00Z,S,0,6,,,
S,2019-08-30T06:00:00Z,S,0,6,,,
S,2019-08-30T12:00:00Z,S,0.5,6,,,
S,2019-08-30T18:00:00Z,S,0.5,6,,,
S,2019-08-31T00:00:00Z,S,0,6,,,
S,2019-08-31T06:00:00Z,S,0,6,,,
S,2019-08-31T12:00:00Z,S,0,6,,,
S,2019-08-31T18:00:00Z,S,0,6,,,
S,2019-09-01T00:00:00Z,S,0,6,,,
S,2019-09-01T06:00:00Z,S,0,6,,,
S,2019-09-01T12:00:00Z,S,0,6,,,
S,2019-09-01T18:00:00Z,S,0,6,,,
S,2019-09-02T00:00:00Z,S,0,6,,,
S,2019-09-02T06:00:00Z,S,0,6,,,
S,2019-09-02T12:00:00Z,S,0,6,,,
S,2019-09-02T18:00:00Z,S,0,6,,,
S,2019-09-03T00:00:00Z,S,0.1,6,,,
S,2019-09-03T06:00:00Z,S,7,6,,,
S,2019-09-03T12:00:00Z,S,16,6,,,
S,2019-09-03T18:00:00Z,S,10,6,,,
S,2019-09-04T00:00:00Z,S,0.1,6,,,
S,2019-09-04T06:00:00Z,S,0.2,6,,,
S,2019-09-04T12:00:00Z,S,2,6,,,
S,2019-09-04T18:00:00Z,S,0,6,,,
S,2019-09-05T00:00:00Z,S,0,6,,,
S,2019-09-05T06:00:00Z,S,1,6,,,
S,2019-09-05T12:00:00Z,S,18,6,,,
S,2019-09-05T18:00:00Z,S,2,6,,,
S,2019-09-06T00:00:00Z,S,2,6,,,
S,2019-09-06T06:00:00Z,S,0.6,6,,,
S,2019-09-06T12:00:00Z,S,2,6,,,
S,2019-09-06T18:00:00Z,S,4,6,,,
S,2019-09-07T00:00:00Z,S,0,6,,,
S,2019-09-07T06:00:00Z,S,0,6,,,
